INSTNM,CITY,STABBR,ZIP,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG_ALL,COSTT4_A,RET_FT4,DEBT_MDN,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,AccredAgency
North-West College-Glendale,Glendale,CA,91203,3,34.1489,-118.2554,1,NULL,NULL,NULL,7030,177,0.5028,0,0.3672,0.0056,0,0,Accrediting Commission of Career Schools and Colleges
Everest College-City of Industry,City of Industry,CA,91746-1023,3,34.0294,-118.0246,NULL,NULL,25047,NULL,9500,1029,0.0457,0.0301,0.6472,0.0311,0.0029,0.0097,Accrediting Commission of Career Schools and Colleges
Fremont College,Cerritos,CA,90703,3,33.8678,-118.0983,NULL,NULL,NULL,0,19000,344,0.0814,0.189,0.5407,0.0698,0,0,Accrediting Commission of Career Schools and Colleges
Pomona Unified School District Adult and Career Education,Pomona,CA,91766-1233,1,34.0536,-117.7764,NULL,NULL,NULL,NULL,NULL,444,0.0991,0.0541,0.4707,0.018,0,0.0068,Council on Occupational Education
University of Phoenix-Online Campus,Phoenix,AZ,85034-7209,3,33.4069,-111.9818,NULL,NULL,19605,0.3468,18532,166816,0.3718,0.1735,0.0817,0.0101,0.0064,0.0061,NULL
University of Phoenix-San Diego Campus,San Diego,CA,92123-2658,3,32.816,-117.1167,NULL,NULL,24094,0.5049,18532,5339,0.1725,0.0822,0.2716,0.0391,0.0037,0.0176,NULL
Universal College of Beauty Inc-Los Angeles 2,Los Angeles,CA,90008,3,34.0042,-118.3317,NULL,NULL,NULL,NULL,2625,32,0,0.9375,0.0625,0,0,0,National Accrediting Commission of Career Arts and Sciences
IBMC College,Fort Collins,CO,80525,3,40.5227,-105.0452,NULL,NULL,22787,NULL,15239,258,0.562,0.0155,0.3256,0.0349,0.0581,0,Accrediting Council for Independent Colleges and Schools
Xenon International Academy-Denver,Aurora,CO,80014,3,39.6763,-104.8486,NULL,NULL,NULL,NULL,10143,101,0.6733,0.0297,0.1782,0.0297,0.0099,0,National Accrediting Commission of Career Arts and Sciences
Academy of Cosmetology,Merritt Island,FL,32953,3,28.3941,-80.7037,NULL,NULL,NULL,NULL,5001,144,0.6319,0.1389,0.1111,0.0278,0,0,National Accrediting Commission of Career Arts and Sciences
ITT Technical Institute-Lake Mary,Lake Mary,FL,32746,3,28.75,-81.3665,0.5665,NULL,26832,NULL,14656.5,269,0.5316,0.223,0.1636,0.0223,0.0074,0,NULL
Sunstate Academy,Clearwater,FL,33765-2702,3,27.967,-82.7327,NULL,NULL,NULL,NULL,6333,224,0.6295,0.1964,0.1205,0.0089,0.0045,0,Accrediting Commission of Career Schools and Colleges
Heritage Institute-Jacksonville,Jacksonville,FL,32216,3,30.254,-81.596,NULL,NULL,NULL,NULL,13137,279,0.4588,0.4194,0.0573,0.0323,0,0.0036,Accrediting Bureau of Health Education Schools
Fortis College-Smyrna,Smyrna,GA,30080-7630,3,33.9013,-84.4886,NULL,NULL,27149,NULL,9866.5,617,0.3047,0.5689,0.1005,0.0049,0,0,Accrediting Bureau of Health Education Schools
Remington College-Honolulu Campus,Honolulu,HI,96813-2811,2,21.3093,-157.86,0.7619,NULL,25592,NULL,9500,495,0.0667,0.0525,0.0828,0.3232,0,0.3273,Accrediting Commission of Career Schools and Colleges
Vatterott College-Des Moines,Des Moines,IA,50321,3,41.6288,-93.6482,NULL,NULL,24247,NULL,13291,239,0.6862,0.1255,0.0502,0.0126,0.0126,0,Accrediting Commission of Career Schools and Colleges
Brown Mackie College-Quad Cities,Bettendorf,IA,52722,3,41.5438,-90.5224,NULL,NULL,23762,NULL,12136.5,364,0.6648,0.2253,0.0879,0.0027,0.011,0,NULL
Pivot Point Academy-Bloomingdale,Bloomingdale,IL,60108-0000,3,41.9559,-88.0767,NULL,NULL,NULL,NULL,12500,175,0.6857,0.0914,0.1371,0.04,0.0057,0,National Accrediting Commission of Career Arts and Sciences
Xenon International Academy-Kansas City,Olathe,KS,66061,3,38.8826,-94.7986,NULL,NULL,NULL,NULL,9833,53,0.7736,0.1132,0.0377,0,0,0.0189,National Accrediting Commission of Career Arts and Sciences
Diesel Driving Academy-Baton Rouge,Baton Rouge,LA,70815,3,30.4649,-91.1038,NULL,NULL,NULL,NULL,6333,256,0.2305,0.7305,0.0156,0.0039,0.0156,0,Council on Occupational Education
Jonesville Beauty School,Vidalia,LA,71373-3358,3,31.5695,-91.4707,NULL,NULL,NULL,NULL,9500,36,0.5,0.5,0,0,0,0,National Accrediting Commission of Career Arts and Sciences
New England Hair Academy,Malden,MA,2148,3,42.4276,-71.0668,NULL,NULL,NULL,NULL,NULL,168,0.6548,0.0833,0.1905,0.0655,0,0,Accrediting Commission of Career Schools and Colleges
Rob Roy Academy-Worcester,Worcester,MA,1609,3,42.2638,-71.8076,NULL,NULL,NULL,NULL,6842,176,0.6023,0.1136,0.2443,0.0284,0,0,National Accrediting Commission of Career Arts and Sciences
Upper Cape Cod Regional Technical School,Bourne,MA,2532,1,41.6802,-70.5953,0.3022,NULL,NULL,NULL,9500,59,0.7966,0,0.0678,0,0.0169,0,Council on Occupational Education | New England Association of Schools and Colleges Commission on Technical and Career Institutions
All-State Career-Baltimore,Baltimore,MD,21224,3,39.2647,-76.5449,NULL,NULL,NULL,NULL,6333,1078,0.2403,0.7199,0.0186,0.0056,0.0009,0.0009,Accrediting Commission of Career Schools and Colleges
New England School of Communications,Bangor,ME,4401,2,44.8272,-68.7899,0.3005,NULL,24040,0.6822,25000,456,0.9496,0.0351,0.0088,0.0044,0.0022,0,Accrediting Commission of Career Schools and Colleges
Everest Institute-Kalamazoo,Kalamazoo,MI,49009,3,42.2916,-85.651,NULL,NULL,NULL,NULL,9500,356,0.6489,0.1601,0.0646,0.0056,0.014,0,NULL
Adler Graduate School,Richfield,MN,55423,2,44.8629,-93.2525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,North Central Association of Colleges and Schools The Higher Learning Commission
Lebanon Technology and Career Center,Lebanon,MO,65536,1,37.6916,-92.6774,NULL,NULL,NULL,NULL,11000,26,0.9231,0.0385,0.0385,0,0,0,NULL
Academy of Hair Design-Jackson,Jackson,MS,39204,3,32.2826,-90.2105,NULL,NULL,NULL,NULL,NULL,121,0,1,0,0,0,0,National Accrediting Commission of Career Arts and Sciences
KC's School of Hair Design,Pontotoc,MS,38863-0000,3,NULL,NULL,NULL,NULL,NULL,NULL,11780,76,0.9211,0.0789,0,0,0,0,National Accrediting Commission of Career Arts and Sciences
Mitchells Hairstyling Academy-Goldsboro,Goldsboro,NC,27534,3,35.3852,-77.948,NULL,NULL,NULL,NULL,NULL,46,0.4565,0.3696,0.087,0.0435,0,0,National Accrediting Commission of Career Arts and Sciences
Lincoln Technical Institute-Moorestown,Moorestown,NJ,8057,3,39.9489,-74.957,NULL,NULL,NULL,NULL,8228,579,0.3161,0.4283,0.1174,0.0155,0,0.0052,NULL
Monmouth County Vocational School District,Freehold,NJ,07728-5033,1,40.2883,-73.9923,NULL,NULL,NULL,NULL,3800,98,0.551,0.3367,0.1122,0,0,0,NULL
Kaplan College-Las Vegas,Las Vegas,NV,89102,3,36.1443,-115.1885,NULL,NULL,NULL,NULL,9427,994,0.2696,0.2173,0.2736,0.1579,0.0131,0.0423,Accrediting Commission of Career Schools and Colleges | Accrediting Council for Independent Colleges and Schools
Beauty School of Middletown,Middletown,NY,10940,3,41.4246,-74.4287,NULL,NULL,NULL,NULL,6333,68,0.6912,0.1029,0.1912,0.0147,0,0,National Accrediting Commission of Career Arts and Sciences
Bryant & Stratton College-Southtowns,Orchard Park,NY,14127,3,42.7902,-78.7704,NULL,NULL,21450,NULL,10250,499,0.8577,0.0762,0.0321,0.002,0.016,0.006,NULL
National Tractor Trailer School Inc-Buffalo,Buffalo,NY,14210-2007,3,42.8653,-78.8578,NULL,NULL,NULL,NULL,6365,89,0.573,0.3034,0.0674,0.0225,0.0337,0,Accrediting Commission of Career Schools and Colleges
Yeshiva Gedolah Imrei Yosef D'spinka,Brooklyn,NY,11219,2,40.6289,-73.9928,NULL,NULL,15948,0.8182,NULL,125,1,0,0,0,0,0,Association of Advanced Rabbinical and Talmudic Schools Accreditation Commission
Cleveland Institute of Dental-Medical Assistants-Mentor,Mentor,OH,44060-2035,3,41.7149,-81.3419,NULL,NULL,NULL,NULL,9500,135,0.7407,0.237,0.0148,0,0,0,Accrediting Commission of Career Schools and Colleges
Cleveland Institute of Dental-Medical Assistants-Lyndhurst,Lyndhurst,OH,44124-2928,3,41.5196,-81.4786,NULL,NULL,NULL,NULL,9500,64,0.1406,0.8438,0,0.0156,0,0,Accrediting Commission of Career Schools and Colleges
Knox County Career Center,Mount Vernon,OH,43050,1,40.3759,-82.4751,NULL,NULL,NULL,NULL,8618,252,0.9881,0,0,0,0.004,0,Council on Occupational Education
Madison Adult Career Center,Mansfield,OH,44905,1,40.7743,-82.4609,NULL,NULL,NULL,NULL,6168,145,0.8276,0.1379,0.0276,0,0,0,Accrediting Commission of Career Schools and Colleges
Remington College-Cleveland Campus,Cleveland,OH,44125-1957,2,41.423,-81.5793,0.7526,NULL,27141,NULL,9500,438,0.0936,0.8014,0.0685,0.0023,0.0046,0.0023,Accrediting Commission of Career Schools and Colleges
Brown Mackie College-Findlay,Findlay,OH,45840,3,41.0585,-83.6195,NULL,NULL,23464,0,12136.5,448,0.7589,0.1853,0.0402,0.0134,0,0,NULL
Toledo Academy of Beauty Culture-East,OREGON,OH,43616,3,41.6383,-83.4695,NULL,NULL,NULL,NULL,7916,111,0.7027,0.2252,0.0721,0,0,0,National Accrediting Commission of Career Arts and Sciences
U S Grant Joint Vocational School,Bethel,OH,45106,1,38.9628,-84.0648,NULL,NULL,9100,NULL,NULL,18,1,0,0,0,0,0,Council on Occupational Education
CC's Cosmetology College,Tulsa,OK,74129,3,36.1334,-95.8466,NULL,NULL,NULL,NULL,9500,47,0.234,0.5106,0.0638,0,0.0851,0,National Accrediting Commission of Career Arts and Sciences
Chisholm Trail Technology Center,Omega,OK,73764-6335,1,35.8422,-98.2018,NULL,NULL,NULL,NULL,NULL,96,0.6667,0.0313,0.1667,0,0.1354,0,Oklahoma Board of Career and Technology Education
Gordon Cooper Technology Center,Shawnee,OK,74804,1,35.3803,-96.908,NULL,NULL,NULL,NULL,NULL,923,0.598,0.0228,0.0347,0.0033,0.0964,0,Oklahoma Board of Career and Technology Education
Kiamichi Technology Center-Atoka,Atoka,OK,74525-0240,1,34.3954,-96.153,NULL,NULL,NULL,NULL,NULL,26,0.9615,0,0,0,0.0385,0,Oklahoma Board of Career and Technology Education
Kiamichi Technology Center-Durant,Durant,OK,74701-1904,1,33.946,-96.4061,NULL,NULL,NULL,NULL,NULL,288,0.6319,0.0208,0.0417,0.0035,0.2465,0,Oklahoma Board of Career and Technology Education
Kiamichi Technology Center-Hugo,Hugo,OK,74743,1,34.0083,-95.4945,NULL,NULL,NULL,NULL,NULL,60,0.6167,0.1833,0.0333,0,0.1667,0,Oklahoma Board of Career and Technology Education
Kiamichi Technology Center-McAlester,McAlester,OK,74501,1,34.9242,-95.746,NULL,NULL,NULL,NULL,NULL,195,0.6667,0.0308,0.0462,0.0205,0.2103,0,Oklahoma Board of Career and Technology Education
Kiamichi Technology Center-Idabel,Idabel,OK,74745-2415,1,33.9219,-94.775,NULL,NULL,NULL,NULL,NULL,75,0.4533,0.0933,0.04,0,0.3867,0,Oklahoma Board of Career and Technology Education
Kiamichi Technology Center-Poteau,Poteau,OK,74953,1,35.0382,-94.634,NULL,NULL,NULL,NULL,NULL,246,0.6829,0.0366,0.0569,0.0081,0.1992,0,Oklahoma Board of Career and Technology Education
Kiamichi Technology Center-Spiro,Spiro,OK,74959,1,35.2404,-94.6288,NULL,NULL,NULL,NULL,NULL,26,0.6923,0.0769,0.1154,0,0.0769,0,Oklahoma Board of Career and Technology Education
Kiamichi Technology Center-Talihina,Talihina,OK,74571,1,34.7653,-95.092,NULL,NULL,NULL,NULL,NULL,52,0.3654,0,0.0769,0,0.5577,0,Oklahoma Board of Career and Technology Education
Le Cordon Bleu College of Culinary Arts-Portland,Portland,OR,97205-2793,3,45.5206,-122.6818,NULL,NULL,21016,NULL,12272,563,0.6146,0.0604,0.0391,0.0302,0.0284,0.0142,Accrediting Council for Independent Colleges and Schools
YTI Career Institute-Altoona,Altoona,PA,16602,3,40.4824,-78.3961,NULL,NULL,NULL,NULL,9158,405,0.9457,0.0148,0.0123,0.0049,0.0025,0.0025,Accrediting Commission of Career Schools and Colleges
Eastern Center for Arts and Technology,Willow Grove,PA,19090,1,40.1585,-75.1097,0.5,NULL,NULL,NULL,9500,142,0.5915,0.3521,0.0141,0.0423,0,0,Middle States Commission on Secondary Schools
Empire Beauty School-Center City Philadelphia,Philadelphia,PA,19102-2701,3,39.9509,-75.1661,NULL,NULL,NULL,NULL,6837,337,0.0148,0.7745,0.0593,0.0148,0,0,NULL
Sanford-Brown Institute-Wilkins Township,Pittsburgh,PA,15235,3,40.4256,-79.8114,NULL,NULL,NULL,NULL,16944.5,96,0.4271,0.1042,0,0,0,0,NULL
Centro de Estudios Multidisciplinarios-Humacao,Humacao,PR,00791-4210,2,18.1488,-65.8211,NULL,NULL,11666,0.4444,2375,743,0,0,0.9744,0,0,0,Accrediting Commission of Career Schools and Colleges
Colegio Mayor de Tecnologia Inc,Arroyo,PR,00714-1490,3,17.9633,-66.063,NULL,NULL,NULL,NULL,NULL,87,0,0,1,0,0,0,Accrediting Commission of Career Schools and Colleges
Institucion Chaviano de Mayaguez,Mayaguez,PR,680,3,18.2005,-67.1344,NULL,NULL,NULL,NULL,NULL,82,0,0,1,0,0,0,Accrediting Commission of Career Schools and Colleges
EDIC College,Caguas,PR,00725-0000,3,18.2424,-66.0252,0.9001,NULL,9253,NULL,NULL,752,0,0,1,0,0,0,Accrediting Council for Independent Colleges and Schools
Liceo de Arte-Dise-O y Comercio,Caguas,PR,725,3,18.2331,-66.0341,NULL,NULL,9682,NULL,NULL,325,0,0,1,0,0,0,Accrediting Commission of Career Schools and Colleges
